id,platform,url,title_or_text,source,published,vader_sentiment,scores,llm_sentiment,llm_confidence,llm_summary,saved_at
4ba741aa23a850af554e6fa658508ec5a3e68eada464a044563008e72537d60e,newsapi,https://biztoc.com/x/68cbdd6b5821704b,Roche Raises Forecast as New Medicines Fuel Growth,Biztoc.com,2025-10-23T05:36:11Z,positive,0.599,,0,,2025-10-24T11:08:14.672577+05:30
1d0ca919d137e6a4fc653419ece21a57ff8f3f522b7f56215dbacf0326f19a71,newsapi,https://biztoc.com/x/5ad00abff979e397,"Hungary's Wizz Air looks to delay 100 Airbus aircraft deliveries, Bloomberg News reports",Biztoc.com,2025-10-23T05:36:04Z,neutral,0,,0,,2025-10-24T11:08:14.676510+05:30
d514ed66aeec0423c5395bcd8d341814ba0cf67bdf1fbcd3b8083ebe413566b1,newsapi,https://biztoc.com/x/7a878fee2b101cfa,Oil Jumps as Trump Steps Up Pressure on Russia With Sanctions,Biztoc.com,2025-10-23T05:35:59Z,neutral,0.026,,0,,2025-10-24T11:08:14.679501+05:30
1fb7c31970b962077332da2775a228e72e742f34fd696cded74067a867355e0e,newsapi,https://biztoc.com/x/f77c225d2096dc7f,McKinsey Says Bank Profits Face Possible $170 Billion AI Hit,Biztoc.com,2025-10-23T05:35:56Z,positive,0.637,,0,,2025-10-24T11:08:14.682252+05:30
f2019a1ae9fea7d1160be15a3091df3756209fd582cc38d0f272895bf4b423af,newsapi,https://biztoc.com/x/87fb117743890a73,Regional Bank Stocks Aren’t Out of the Woods Yet. Why It’s Time to Lighten Up,Biztoc.com,2025-10-23T05:35:49Z,positive,0.318,,0,,2025-10-24T11:08:14.685468+05:30
7a2e268689dfe4a6fe36e374beaef3bfb9319055acd3a49effb69bdb3b7462d3,newsapi,https://www.euractiv.com/news/rapporteur-exclusive-eu-plots-e1-billion-revamp-of-council-hq/,Exclusive: EU plots €1 billion revamp of Council HQ,EURACTIV,2025-10-23T05:35:48Z,positive,0.368,,0,,2025-10-24T11:08:14.691472+05:30
fc82ce924d203e34b9d93b862c1794af7d9974d1be1c4070ed8392f794d50b11,newsapi,https://www.globenewswire.com/news-release/2025/10/23/3171682/0/en/Pioneer-Hash-has-launched-a-new-free-intelligent-AI-cloud-computing-app-allowing-users-around-the-world-to-easily-earn-money-every-day.html,"Pioneer Hash has launched a new, free, intelligent AI cloud computing app, allowing users around the world to easily earn money every day!",GlobeNewswire,2025-10-23T05:33:00Z,positive,0.983,,0,,2025-10-24T11:08:14.696164+05:30
8cd2f621b8f8e5d93e6fdbf94382342d351922de55632257b9efd3b8bc7e7e51,newsapi,https://www.globenewswire.com/news-release/2025/10/23/3171681/0/en/Good-performance-in-the-third-quarter-in-a-complex-environment.html,Good performance in the third quarter in a complex environment,GlobeNewswire,2025-10-23T05:33:00Z,positive,0.917,,0,,2025-10-24T11:08:14.699233+05:30
f497d4f729ca34598957c6c923c54678e1b3bbc0b72758821cbe350b06c78a87,newsapi,https://www.computerweekly.com/blog/CW-Developer-Network/NTT-DATA-Inc-Resilience-brilliance-needs-a-helicopter-view,NTT DATA Inc: Resilience brilliance needs a helicopter view,ComputerWeekly.com,2025-10-23T05:32:09Z,positive,0.976,,0,,2025-10-24T11:08:14.702286+05:30
6bcc21f362dc6e1a38e8e92d6229b56241c6a12d574daf9fdab8b73145ce547f,newsapi,https://finance.yahoo.com/news/t-q3-cy2025-deep-dive-053146745.html,"T Q3 CY2025 Deep Dive: Fiber Expansion, Convergence Strategy, and Margin Focus Define Quarter",Yahoo Entertainment,2025-10-23T05:31:46Z,positive,0.625,,0,,2025-10-24T11:08:14.709281+05:30
b16fca4cbab75b24eda4d39cf9f15fc5764824f765ade97fcc9177a4c45e8001,newsapi,https://financialpost.com/pmn/business-wire-news-releases-pmn/bureau-veritas-robust-and-consistent-revenue-performance-delivered-in-q3-2025-fy-2025-outlook-reaffirmed,Bureau Veritas: Robust and Consistent Revenue Performance Delivered in Q3 2025; FY 2025 Outlook Reaffirmed,Financial Post,2025-10-23T05:31:27Z,positive,0.932,,0,,2025-10-24T11:08:14.713700+05:30
1088a86fa9cf957e3871c474f839bbfc4398f77672e8fcb64d862bda5ee4c29c,newsapi,https://www.scmp.com/native/business/topics/helping-smes-grow-globally/article/3320413/how-businesses-can-leverage-hong-kongs-advantages-expand-overseas,How businesses can leverage Hong Kong’s advantages to expand overseas,Post Magazine,2025-10-23T05:31:25Z,positive,0.927,,0,,2025-10-24T11:08:14.717078+05:30
27fc3c68d6e8766e0b38e4dd6dad57cb884faea6859dfa201cfd234bf9ff3835,newsapi,https://www.forbes.com/sites/rodgerdeanduncan/2025/10/23/why-companies-are-losing-billions-by-wasting-talent/,Why Companies Are Losing Billions By Wasting Talent,Forbes,2025-10-23T05:30:00Z,negative,-0.625,,0,,2025-10-24T11:08:14.721247+05:30
1120ca1e73642358369b1575131b4a33350680b3fe54d939d687f84829dfae88,newsapi,https://www.globenewswire.com/news-release/2025/10/23/3171671/0/en/BUREAU-VERITAS-Robust-and-consistent-revenue-performance-delivered-in-Q3-2025-FY-2025-outlook-reaffirmed.html,BUREAU VERITAS - Robust and consistent revenue performance delivered in Q3 2025; FY 2025 outlook reaffirmed,GlobeNewswire,2025-10-23T05:30:00Z,positive,0.735,,0,,2025-10-24T11:08:14.725556+05:30
dfe426f11b09ba5edec8ff6361b24abdb3bb49fbc897f87b01473d649eb40bc5,newsapi,https://pypi.org/project/intentkit/0.8.12.dev2/,intentkit 0.8.12.dev2,Pypi.org,2025-10-23T05:28:37Z,positive,0.318,,0,,2025-10-24T11:08:14.729128+05:30
b78311782b6a397c97aaa989877803bf1274b4679c86095eaa060f792f3319ee,newsapi,https://pypi.org/project/dv-pipecat-ai/0.0.85.dev820/,dv-pipecat-ai 0.0.85.dev820,Pypi.org,2025-10-23T05:27:54Z,positive,0.318,,0,,2025-10-24T11:08:14.732926+05:30
